visited_at,posts_read,mobile,time_read
2015-10-15,155,false,303
2015-10-16,234,false,457
2015-10-18,38,false,74
2015-10-19,0,false,0
2015-10-28,0,false,0
2015-11-05,0,false,0
2015-11-06,4,false,8
2015-11-13,197,false,385
2015-11-14,223,false,436
2015-11-15,83,false,162
2015-11-16,410,false,801
2015-11-17,455,false,889
2015-11-18,84,false,164
2015-11-19,91,false,178
2015-11-20,67,false,131
2015-11-21,13,false,25
2015-11-22,23,false,45
2015-11-23,52,false,102
2015-11-24,124,false,242
2015-11-25,92,false,180
2015-11-26,89,false,174
2015-12-02,8,false,16
2015-12-03,0,false,0
2015-12-06,96,false,188
2015-12-08,32,false,63
2015-12-09,32,false,63
2015-12-10,79,false,154
2015-12-11,47,false,92
2015-12-12,174,false,340
2015-12-13,114,false,223
2015-12-14,29,false,57
2015-12-15,99,false,193
2015-12-16,34,false,66
2015-12-18,115,false,225
2015-12-20,13,false,25
2015-12-22,78,false,152
2015-12-23,279,false,545
2015-12-24,207,false,404
2015-12-25,707,false,1381
2015-12-26,767,false,1498
2015-12-27,227,false,443
2015-12-28,113,false,221
2015-12-29,228,false,445
2015-12-30,120,false,234
2015-12-31,583,false,1139
2016-01-01,8,false,16
2016-01-02,346,false,676
2016-01-03,1242,false,2426
2016-01-04,315,false,615
2016-01-05,442,false,864
2016-01-06,238,false,465
2016-01-07,41,false,80
2016-01-08,38,false,74
2016-01-09,831,false,1624
2016-01-10,347,false,678
2016-01-11,27,false,53
2016-01-12,40,false,78
2016-01-13,596,false,1164
2016-01-14,69,false,135
2016-01-15,79,false,154
2016-01-17,64,false,125
2016-01-18,2,false,4
2016-01-19,356,false,696
2016-01-20,65,false,127
2016-01-21,33,false,64
2016-01-22,66,false,129
2016-01-23,248,false,485
2016-01-24,69,false,135
2016-01-25,128,false,250
2016-01-26,5337,false,10427
2016-01-27,157,false,307
2016-01-28,469,false,916
2016-01-29,333,false,651
2016-01-30,147,false,287
2016-01-31,0,false,0
2016-02-01,426,false,832
2016-02-02,352,false,688
2016-02-03,415,false,811
2016-02-04,2201,false,4300
2016-02-05,1775,false,3468
2016-02-06,38,false,74
2016-02-07,0,false,0
2016-02-08,1243,false,2428
2016-02-09,4,false,8
2016-02-10,277,false,541
2016-02-12,52,false,102
2016-02-13,2,false,4
2016-02-14,2,false,4
2016-02-19,574,false,1121
2016-02-20,21,false,41
2016-02-21,0,false,0
2016-02-23,598,false,1168
2016-02-24,81,false,158
2016-02-25,68,false,133
2016-02-26,45,false,88
2016-02-27,22,false,43
2016-02-28,121,false,236
2016-03-01,111,false,217
2016-03-06,48,false,94
2016-03-08,18,false,35
2016-03-09,17,false,33
2016-03-10,59,false,115
2016-03-12,110,false,215
2016-03-13,23,false,45
2016-03-14,0,false,0
2016-03-15,17,false,33
2016-03-16,25,false,49
2016-03-17,43,false,84
2016-03-18,1,false,2
2016-03-20,477,false,932
2016-03-21,50,false,98
2016-03-22,247,false,483
2016-03-23,13564,false,26500
2016-03-24,291,false,569
