id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
17703,11683,1925,15,2015-10-16 14:10:45 UTC,2015-10-16 14:10:45 UTC,,
17705,11697,1925,16,2015-10-16 14:28:25 UTC,2015-10-16 14:28:25 UTC,,
29581,20289,2633,2,2015-11-13 22:32:38 UTC,2015-11-13 22:32:38 UTC,,
30064,20530,2633,19,2015-11-14 14:55:27 UTC,2015-11-14 14:55:27 UTC,,
30070,18992,2541,1,2015-11-14 15:04:03 UTC,2015-11-14 15:04:03 UTC,,
31810,22146,2733,2,2015-11-16 20:18:42 UTC,2015-11-16 20:18:42 UTC,,
32006,22295,2733,37,2015-11-16 22:32:55 UTC,2015-11-16 22:32:55 UTC,,
32025,22305,2733,41,2015-11-16 22:50:53 UTC,2015-11-16 22:50:53 UTC,,
32127,22388,2750,1,2015-11-17 00:27:53 UTC,2015-11-17 00:27:53 UTC,,
32153,22405,2748,7,2015-11-17 00:58:03 UTC,2015-11-17 00:58:03 UTC,,
32197,22454,2748,11,2015-11-17 02:00:26 UTC,2015-11-17 02:00:26 UTC,,
32499,22667,2748,18,2015-11-17 17:36:16 UTC,2015-11-17 17:36:16 UTC,,
32503,22560,2760,1,2015-11-17 17:55:31 UTC,2015-11-17 17:55:31 UTC,,
32530,22694,2748,27,2015-11-17 19:41:37 UTC,2015-11-17 19:41:37 UTC,,
32531,22693,2748,26,2015-11-17 19:41:37 UTC,2015-11-17 19:41:37 UTC,,
32555,22700,2748,30,2015-11-17 20:27:56 UTC,2015-11-17 20:27:56 UTC,,
32589,22738,2533,175,2015-11-17 21:42:20 UTC,2015-11-17 21:42:20 UTC,,
32603,22756,2769,6,2015-11-17 22:33:20 UTC,2015-11-17 22:33:20 UTC,,
32621,22797,2745,28,2015-11-17 23:09:29 UTC,2015-11-17 23:09:29 UTC,,
32638,22818,2706,140,2015-11-17 23:37:08 UTC,2015-11-17 23:37:08 UTC,,
32640,22832,2706,146,2015-11-17 23:44:44 UTC,2015-11-17 23:44:44 UTC,,
32641,22840,2733,60,2015-11-17 23:48:08 UTC,2015-11-17 23:48:08 UTC,,
32649,22862,2533,182,2015-11-18 00:28:38 UTC,2015-11-18 00:28:38 UTC,,
32652,22865,2533,184,2015-11-18 00:30:32 UTC,2015-11-18 00:30:32 UTC,,
32662,22871,2533,187,2015-11-18 00:49:53 UTC,2015-11-18 00:49:53 UTC,,
32666,22869,2733,66,2015-11-18 00:50:46 UTC,2015-11-18 00:50:46 UTC,,
32668,22874,2779,2,2015-11-18 00:54:36 UTC,2015-11-18 00:54:36 UTC,,
32677,22879,2779,5,2015-11-18 01:06:01 UTC,2015-11-18 01:06:01 UTC,,
32941,22883,2779,7,2015-11-18 14:59:55 UTC,2015-11-18 14:59:55 UTC,,
32942,22930,2533,190,2015-11-18 15:01:37 UTC,2015-11-18 15:01:37 UTC,,
