badge_id,badge_name,granted_at,post_id,seq,granted_manually,notification_id,featured_rank
5,Welcome,2015-10-15 03:04:38 UTC,11522,0,false,,29
1,Basic,2015-10-15 03:16:15 UTC,,0,false,40130,34
10,Editor,2015-10-15 03:24:13 UTC,,0,false,40448,21
41,First Emoji,2015-10-15 14:35:10 UTC,11584,0,false,,31
2,Member,2015-11-14 21:16:08 UTC,,0,false,81670,1
42,First Onebox,2015-11-17 18:03:39 UTC,22679,0,false,,25
45,Enthusiast,2015-11-23 00:00:00 UTC,,0,false,,23
6,Nice Reply,2015-12-12 16:20:44 UTC,32843,0,false,,33
11,First Like,2015-12-12 16:20:51 UTC,32840,0,false,,28
40,First Mention,2015-12-12 17:56:21 UTC,32914,0,false,,22
6,Nice Reply,2016-02-04 19:20:26 UTC,107728,0,false,,33
6,Nice Reply,2016-02-04 20:30:06 UTC,107781,0,false,,33
6,Nice Reply,2016-02-04 20:31:19 UTC,107783,0,false,,33
36,Appreciated,2016-03-19 01:57:27 UTC,,0,false,1535488,27
37,Respected,2016-03-19 01:57:38 UTC,,0,false,1535742,11
38,Thank You,2016-03-19 01:57:41 UTC,,0,false,1535831,26
32,Gives Back,2016-04-01 02:59:58 UTC,,0,false,1799039,12
24,Anniversary,2016-10-15 02:43:20 UTC,,0,false,7359852,13
48,Wiki Editor,2017-04-26 15:37:43 UTC,1198651,0,false,,14
18,Nice Topic,2017-04-28 21:41:40 UTC,1206246,0,false,12570553,32
18,Nice Topic,2017-04-29 00:11:42 UTC,1206730,0,false,12573048,32
39,Empathetic,2017-04-29 13:08:05 UTC,,0,false,12579496,3
13,First Flag,2017-05-10 12:47:07 UTC,1221933,0,false,,35
33,Out of Love,2017-05-13 11:13:24 UTC,,0,false,12745143,20
15,First Quote,2017-05-17 15:31:50 UTC,1232558,0,false,,18
6,Nice Reply,2017-05-29 13:54:50 UTC,1206248,0,false,12951624,33
6,Nice Reply,2017-05-30 15:41:59 UTC,1251250,0,false,,33
