id,post_id,post_action_type,created_at,updated_at,deleted_at,deleted_by,related_post_id
31805,22130,#<PostActionType:0x00007f692b48f508>,2015-11-16 20:12:22 UTC,2015-11-16 20:12:22 UTC,2015-11-16 20:12:27 UTC,self,
46699,31231,#<PostActionType:0x00007f692b48dd48>,2015-12-09 03:12:57 UTC,2015-12-09 03:12:57 UTC,2015-12-09 03:13:10 UTC,self,
46700,31228,#<PostActionType:0x00007f692b48d488>,2015-12-09 03:12:59 UTC,2015-12-09 03:12:59 UTC,2015-12-09 03:13:11 UTC,self,
143443,86210,#<PostActionType:0x00007f692b48d348>,2016-01-22 20:18:43 UTC,2016-01-22 20:18:43 UTC,2017-04-19 00:56:20 UTC,self,
189703,109527,#<PostActionType:0x00007f692b48d208>,2016-02-05 20:35:55 UTC,2016-02-05 20:35:55 UTC,2016-02-05 20:38:44 UTC,self,
2125399,345600,#<PostActionType:0x00007f692b48d0c8>,2016-11-15 16:22:09 UTC,2016-11-15 16:22:09 UTC,2016-11-15 16:22:10 UTC,self,
2983432,1184546,#<PostActionType:0x00007f692b48ce48>,2017-04-17 02:24:17 UTC,2017-04-17 02:24:17 UTC,2017-04-17 02:24:25 UTC,self,
2984453,1128312,#<PostActionType:0x00007f692b48cd08>,2017-04-17 14:00:50 UTC,2017-04-17 14:00:50 UTC,2017-06-23 16:57:37 UTC,self,
3039095,1033236,#<PostActionType:0x00007f692b48cbc8>,2017-04-28 13:22:20 UTC,2017-04-28 13:22:20 UTC,2018-02-02 07:11:19 UTC,self,
3039107,1205642,#<PostActionType:0x00007f692b48ca88>,2017-04-28 13:24:28 UTC,2017-04-28 13:24:28 UTC,2017-04-28 13:24:30 UTC,self,
3039380,1204791,#<PostActionType:0x00007f692b48c948>,2017-04-28 15:22:07 UTC,2017-04-28 15:22:07 UTC,2017-04-28 15:22:08 UTC,self,
3046553,1208128,#<PostActionType:0x00007f692b48c808>,2017-04-29 19:23:50 UTC,2017-04-29 19:23:50 UTC,2017-04-29 19:23:51 UTC,self,
3084729,1220083,#<PostActionType:0x00007f692b48c6c8>,2017-05-08 23:53:36 UTC,2017-05-08 23:53:36 UTC,2017-06-27 04:20:25 UTC,self,
3179298,1254594,#<PostActionType:0x00007f692b48c588>,2017-05-31 17:24:24 UTC,2017-05-31 17:24:24 UTC,2017-06-23 16:57:30 UTC,self,
3179421,1254777,#<PostActionType:0x00007f692b48c448>,2017-05-31 17:51:09 UTC,2017-05-31 17:51:09 UTC,2017-06-23 16:57:25 UTC,self,
3261413,1295137,#<PostActionType:0x00007f692b48c308>,2017-06-23 12:46:34 UTC,2017-06-23 12:46:34 UTC,2017-06-27 04:20:17 UTC,self,
3278713,1302452,#<PostActionType:0x00007f692b48c1c8>,2017-06-27 23:26:31 UTC,2017-06-27 23:26:31 UTC,2017-06-27 23:27:20 UTC,self,
3278714,1302471,#<PostActionType:0x00007f692b48c088>,2017-06-27 23:26:34 UTC,2017-06-27 23:26:34 UTC,2018-01-22 17:34:00 UTC,self,
3981806,1577606,#<PostActionType:0x00007f692b48bf48>,2017-12-19 23:39:11 UTC,2017-12-19 23:39:11 UTC,2018-01-31 12:27:17 UTC,self,
4040635,1597534,#<PostActionType:0x00007f692b48be08>,2017-12-31 15:22:56 UTC,2017-12-31 15:22:56 UTC,2018-01-31 13:42:05 UTC,other,
4040958,1512030,#<PostActionType:0x00007f692b48bcc8>,2017-12-31 16:05:29 UTC,2017-12-31 16:05:29 UTC,2018-02-20 23:28:58 UTC,self,
4046082,1599437,#<PostActionType:0x00007f692b48bb88>,2018-01-01 05:53:06 UTC,2018-01-01 05:53:06 UTC,2018-01-01 05:53:08 UTC,self,
4128562,1629056,#<PostActionType:0x00007f692b48b908>,2018-01-15 17:08:16 UTC,2018-01-15 17:08:16 UTC,2018-01-15 17:18:43 UTC,self,
4133732,386940,#<PostActionType:0x00007f692b48b7c8>,2018-01-16 04:10:22 UTC,2018-01-16 04:10:22 UTC,2020-03-04 16:03:50 UTC,other,
4133743,686515,#<PostActionType:0x00007f692b48b688>,2018-01-16 04:11:07 UTC,2018-01-16 04:11:07 UTC,,,
4153573,1638526,#<PostActionType:0x00007f692b48b548>,2018-01-18 16:49:10 UTC,2018-01-18 16:49:10 UTC,2018-01-18 16:49:11 UTC,self,
4182869,1650179,#<PostActionType:0x00007f692b48b408>,2018-01-23 19:06:53 UTC,2018-01-23 19:06:53 UTC,2018-02-01 09:20:09 UTC,self,
4182870,1650185,#<PostActionType:0x00007f692b48b2c8>,2018-01-23 19:07:04 UTC,2018-01-23 19:07:04 UTC,2018-02-01 09:20:09 UTC,self,
4184509,1650992,#<PostActionType:0x00007f692b48b188>,2018-01-24 02:22:30 UTC,2018-01-24 02:22:30 UTC,2018-02-01 09:20:10 UTC,self,
4184510,1650659,#<PostActionType:0x00007f692b48b048>,2018-01-24 02:22:40 UTC,2018-01-24 02:22:40 UTC,,,
4218463,1663848,#<PostActionType:0x00007f692b48af08>,2018-01-30 19:58:58 UTC,2018-01-30 19:58:58 UTC,2018-02-20 23:29:06 UTC,self,
