topic_title,category,sub_category,is_pm,post,like_count,reply_count,url,created_at
Suggestions for improving Hopscotch,Meta - Hopscotch,-,No,"Hey guy! I'm JonnyGamer new to the Forum, but not in hopscotch. Um, let's see, I really think you guys should add a text button, so you can communicate with your friends faster and share projects with each other. You could also ask for help with it to popular hopscotchers. The text button would be really great. Uh, also, the follow should be more like 'friend' to communicate better and see what they are doing like a mini blog, or a new level they are creating. I will post more ideas later...",5,0,https://forum.gethopscotch.com/t/suggestions-for-improving-hopscotch/138/145,2015-10-15 03:03:29 UTC
Ideas for a *NEW HOPSCOTCH UPDATE*,Meta - Hopscotch,-,No,"I think a 'Text me!' would be great to add to hopscotch profiles. You can text your friends faster and send them your projects for group editing. Also I think that the following should be more like friending so you can see what their doing and follow a 'blog' that they post. Thanks for reading, I'll post more soon! 
- JonnyGamer",1,0,https://forum.gethopscotch.com/t/ideas-for-a-new-hopscotch-update/1247/84,2015-10-15 03:13:05 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,"Hey guys! This is a great idea I've been thinking about. I thought that if we could make a 'Text Me!' button so you can communicate faster. Also, you could share projects with your friends maybe even before you've published them, so you could make mega collabs. I think this would be a great way to have people help each others, and ask for help from popular hopscotchers. Thanks!
- JonnyGamer",24,0,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/1,2015-10-15 03:24:13 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,"The site itself is a little buggy, but especially posting things take a while.",4,0,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/3,2015-10-15 14:29:51 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,"What I was thinking was having a small text button on the bottom of the screen and if someone new wanted to text you, a notification would appear. It would also say if you want to accept their text request so you don't receive tons of random messages from weirdos. I also think that it should add, when your texting someone, an ability to post a project your working on so you can share it without publishing it. :smiley:",4,0,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/4,2015-10-15 14:35:10 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,"Here are some ideas I've drawn!
<img src=""/uploads/default/original/2X/e/ec8db6ac1607c0a708a5f82be305f647f75dfaf5.jpeg"" width=""669"" height=""499""><img src=""/uploads/default/original/2X/9/9fae7d505a5fa2a3b1b451671758a32012a36373.jpeg"" width=""669"" height=""499"">",20,1,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/5,2015-10-15 15:21:11 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,"More pictures I've drawn. :stuck_out_tongue: 
<img src=""/uploads/default/original/2X/5/5abce373a15ca412175ee24a7ec8710d86f1d4d5.jpeg"" width=""669"" height=""499""><img src=""/uploads/default/original/2X/0/00963a52fe77f111ba8293dda173e5480eb80030.jpeg"" width=""669"" height=""499"">",16,3,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/6,2015-10-15 16:23:48 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,"Hello, sorry I was not clear before, but I really don't want hopscotch to be more social media, I just wanted the texting app to be another resource to share ideas with friends. Like I said earlier, when someone you don't know requests to text with you, you can deny it. Also, you can always block them in the edit mode, sorry the picture was blurry. Thanks for your response!
-JonnyGamer",8,1,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/8,2015-10-15 16:50:30 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,"Yah, I know, I'm perfectly fine. I'm just trying to make the idea better. ;)",3,0,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/10,2015-10-15 16:59:07 UTC
Texting In Hopscotch?!?,Meta - Hopscotch,-,No,Does anyone else have ideas about messenging?,2,1,https://forum.gethopscotch.com/t/texting-in-hopscotch/1925/11,2015-10-15 20:55:26 UTC
